,k_on,k_off,k_syn
0610005C13Rik,30.684018272336623,33.599507238865485,0.028184070798276242
0610007P14Rik,1.0881542249063365,5.18268274008019,12.438916696044847
0610009B22Rik,0.9168723959845866,2.886208871450869,15.683944918570953
0610009L18Rik,0.037592546650380525,18.061583231707594,37.61459455990103
0610009O20Rik,0.43332201189075004,10.211399678762689,11.66289761869412
0610010F05Rik,0.4097379564743043,63.830822806722146,94.92167645397315
0610012G03Rik,0.17987367649547592,0.3460537627550046,22.745969921363606
0610031J06Rik,2.274859275445304,10.766867380389934,84.37519018046895
0610037L13Rik,4.615837637040086,384.2104760434833,84.24424088669217
0610038B21Rik,27.200757489773416,38.53918593946487,0.021549183398922846
0610040B10Rik,1.5049067000787153,18.096961105040283,0.9974227145901107
1110001J03Rik,11.935073487120192,728.4934499839018,50.00331119268029
1110002L01Rik,---,---,---
1110004E09Rik,0.22957594682033033,1.7306982948289944,13.504933020305055
1110006O24Rik,0.04481438550036354,18.85406798903935,26.21342815823852
1110007C09Rik,0.6530403907055542,12.789179394615527,84.45801408554809
1110008L16Rik,0.47627698520244643,15.788802791347642,12.853634114019469
1110012L19Rik,0.7075653231776154,956.4300506247852,1494.8588880140157
1110020A21Rik,33.54578867035514,46.60440361911087,0.02142849075669736
1110032A03Rik,0.10265563050062225,292.6416795736193,995.3160285833884
1110034G24Rik,4.785647378054382,255.9581769284572,14.837354029629408
1110037F02Rik,0.9404984514089162,104.42614346460681,290.7502219196365
1110038B12Rik,0.7540111419358996,1.000215593716137,7.5131120698997504
1110038F14Rik,0.6653521891409552,2.1661016924985566,6.915383256970738
1110051M20Rik,0.3502636630646692,10.455344384882386,33.35854956138299
1110054M08Rik,2.085459728487455,17.20048436097737,1.8235577042861553
1110057K04Rik,0.6547490782995719,82.92581911053536,123.13080806957862
1110058L19Rik,0.9079119370122151,2.5922850292206046,16.97131584851553
1110059E24Rik,0.7724412108173513,132.0465352420144,199.17230144250354
1110059G10Rik,0.08045711064864046,7.861117970522954,32.85134164371241
1190002N15Rik,0.5717331567398717,18.220921491150595,22.29251389647461
1190005I06Rik,0.3479368452722768,18.038542107886524,5.022804892987034
1190007I07Rik,0.8160761215162299,123.5630693878108,74.13606993390154
1300002E11Rik,0.4554243838385294,3.127649589354569,5.850663267286108
1500009L16Rik,0.16609643934632515,4.036995103795662,17.971517266438433
1500011B03Rik,0.6268556694629658,6.341612222179704,21.741199876253823
1500012F01Rik,0.280123511705316,0.3743839431080597,5.279240519416679
1500015A07Rik,0.0537559366142054,1.4316195055886893,3.8656754511340212
1500015O10Rik,0.06617745906375624,22.444314790346986,9.105164699822636
1600012H06Rik,0.06660372970718759,0.10109937502679398,3.0307983257337754
1600014C10Rik,0.8480558857907745,12.112465595020048,20.47218984977658
1600020E01Rik,0.6377944851787468,116.75261667121178,98.57430965287445
1700001G11Rik,0.04265588109133451,1.534461940372665,1.8411228575247485
1700001L05Rik,51.887305594789176,50.42891830314135,0.0361789154867903
1700003E16Rik,0.06229967374519941,20.31012557071091,19.2775889019068
1700003F12Rik,8.65892285251494e-05,0.0005503354065493075,0.9604568251128838
1700003M07Rik,0.015318664724147404,12.52161754545311,51.58286968315298
1700009P17Rik,0.18032026327474865,19.97001491370336,4.5092909822532095
1700010I14Rik,0.16361524583519413,1.892195266100425,1.6565773799370338
1700012B09Rik,0.042055760865345244,1.5351087540593134,1.8424737337135486
1700012D14Rik,0.025029308394858875,25.719431934018154,18.58213794872404
1700017B05Rik,0.16497222093157662,1.4970663920514027,8.136065673387927
1700018L02Rik,0.02469684866237321,26.335861508543513,19.02524229652754
1700020I14Rik,0.22467885527531842,0.39250653014470094,4.207294898048784
1700021F05Rik,0.6005079666198191,84.5916601311631,326.3188993143883
1700021K19Rik,0.37355569347626777,3.382890268900259,8.467104246604437
1700024P16Rik,0.5973762772771438,112.60313554026771,44.59894864551859
1700025G04Rik,0.3212672749676814,4.576504665015556,12.532529980344863
1700026L06Rik,0.03846440933561908,20.88934312064869,27.019709583442566
1700028I16Rik,94.57698990793959,37.83776036948124,0.05625301297009396
1700028J19Rik,0.2203894762598584,1.8296088028218864,1.1212492771754001
1700028K03Rik,38.10131553898565,34.688873243063696,0.025586211707707543
1700029J07Rik,0.00015160046971843938,0.0008150843037845862,0.3813074643146641
1700030J22Rik,66.90401727765357,48.530709548597954,0.04629675933944458
1700030K09Rik,0.2171035963933206,26.29955194708312,14.889876438097408
1700034F02Rik,1.4874204186410023,18.108097897505715,1.004297868982258
1700037C18Rik,0.02292613086685382,19.59874998786081,47.32205276334856
1700037H04Rik,0.7970223991423516,34.06583488222592,90.94747551777466
1700048O20Rik,34.01062184440719,42.0931903310857,0.020266242079553735
1700049G17Rik,0.366276781080457,43.10529284706197,19.601412561513552
1700052K11Rik,0.2112013549997956,7.592317889600794,10.147152678690306
1700052N19Rik,0.49542193100315235,58.409533874782134,57.12107201537416
1700056E22Rik,30.684018272336623,33.599507238865485,0.028184070798276242
1700061G19Rik,64.88534585947302,36.59838064284999,0.03571450928388028
1700066M21Rik,0.1934685099320582,46.39211671610271,32.61913566945411
1700067K01Rik,50.70078107809941,32.27369632452246,0.029706335644571133
1700086O06Rik,0.522936503692079,18.475037391836874,2.1564738115989615
1700088E04Rik,5.7275961294038514e-05,0.0003337116170655127,0.3797873500559456
1700092M07Rik,27.200757489773416,38.53918593946487,0.021549183398922846
1700094D03Rik,26.69285642516093,41.64811086398348,1.205379692766362
1700096K18Rik,236.04371904177518,51.09377605179442,0.08218730269915493
1700102P08Rik,0.024793439257612036,25.851950802305673,18.68900130526667
1700112E06Rik,0.04900989726488115,21.087398890241623,19.66186150891054
1700123M08Rik,0.01442478909620713,35.191201019667666,54.195404051371
1700123O20Rik,1.0885967173685152,40.76875762226977,149.63579530304193
1700125H03Rik,88.25011209340211,48.69936878775745,0.0346052670070819
1700125H20Rik,38.10131553898565,34.688873243063696,0.025586211707707543
1810009A15Rik,1.8543973222676997,160.28549227372784,582.9259509228538
1810010H24Rik,0.33319339162595285,270.63737756798724,62.04568083657518
1810011O10Rik,0.011968504255416481,33.01571757155599,37.33164284943635
1810013L24Rik,0.526807158784253,73.83553748522219,318.7598086511868
1810014B01Rik,0.027061718194235494,17.58580828094809,24.317716129099836
1810024B03Rik,0.16096755914270852,6.0969018201581795,6.603588220094529
1810026B05Rik,2.245998153094945,195.32228621691186,44.82396877322597
1810026J23Rik,0.6236643378339662,65.45864859531903,103.00706716453257
1810030O07Rik,0.3649347430512784,39.08694433937087,59.6089391620361
1810032O08Rik,0.5147842189904943,29.92858880696864,18.923831734116188
1810037I17Rik,1.148815050912467,65.0534553852181,336.1301801092532
1810043G02Rik,0.7463002120138883,200.34969156784578,182.67097746002358
1810043H04Rik,1.339074283333099,150.13188776053303,281.33885091934866
1810055G02Rik,1.1411818895998953,13.006284119265857,40.27189688592736
1810058I24Rik,1.7809200049865128,7.848366048225528,40.24428407042884
1810062G17Rik,0.014653823863918676,1.3219454835820261,3.6750460322785212
1810062O18Rik,52.075038979915504,12.932236838148535,0.03373887212774143
2010012O05Rik,0.9179123196215682,21.932626491880058,42.840292073960434
2010107E04Rik,2.9704922562058584,163.34565149891742,925.1188798099557
2010107G23Rik,0.02434893729844065,1.798126282124014,6.398115344547574
2010111I01Rik,1.0081026133471491,354.2866389756544,358.6843291017399
2200002D01Rik,0.2595949805586072,2.6866594968768593,47.55922811109118
2210013O21Rik,0.5143586920220153,10.32259801467597,74.93105407782895
2210015D19Rik,588.178927060407,132.64964835614356,0.6043489998604701
2210016F16Rik,0.5434894989520719,0.9128206294749625,12.351622126310632
2210016L21Rik,1.101805168115069,17.357256366415672,51.8387629939557
2210018M11Rik,0.1899920541737926,4.539041349170069,11.888594950508265
2210408F21Rik,0.43698950286683813,85.42723053945586,62.43821536153848
2210408I21Rik,0.016179220848875384,16.547746120186453,18.872515341957047
2300009A05Rik,0.10027830013847422,0.3934925505477529,3.9617007529287434
2310001H17Rik,0.06514702379786505,20.670521580019436,16.08854139486193
2310003H01Rik,0.2532589504738908,54.684228019796805,68.07722944441177
2310009A05Rik,0.7501653095595516,1.5636246162201948,7.153243810755116
2310009B15Rik,0.09316015080668998,0.9698398516171912,5.6272834030453405
2310011J03Rik,0.5646898456215701,3.2537628578580113,12.783412957147615
